住所（スプレッドシート用）,Latitude,Longitude,世帯数
兵庫県西宮市山口町下山口,34.834384,135.2368699,311
兵庫県西宮市山口町上山口,34.8150382,135.2442754,380
兵庫県西宮市山口町中野,34.8094109,135.2559956,15
兵庫県西宮市山口町船坂,34.7976213,135.2759268,307
兵庫県西宮市山口町金仙寺,34.8160185,135.2606845,22
兵庫県西宮市山口町名来１丁目,34.8441534,135.2366588,412
兵庫県西宮市山口町名来２丁目,34.840833,135.2366588,470
兵庫県西宮市山口町下山口１丁目,34.8362565,135.2381234,254
兵庫県西宮市山口町下山口２丁目,34.8359927,135.2363659,31
兵庫県西宮市山口町下山口３丁目,34.8336298,135.2378305,201
兵庫県西宮市山口町下山口４丁目,34.8297468,135.2390022,383
兵庫県西宮市山口町下山口５丁目,34.8302741,135.2425176,128
兵庫県西宮市山口町香花園,34.805336,135.2460332,81
兵庫県西宮市北六甲台１丁目,34.8352468,135.2436894,413
兵庫県西宮市北六甲台２丁目,34.8352119,135.2483771,396
兵庫県西宮市北六甲台３丁目,34.8351767,135.2530653,408
兵庫県西宮市北六甲台４丁目,34.8318731,135.2507211,368
兵庫県西宮市北六甲台５丁目,34.8319084,135.2460332,644
兵庫県西宮市すみれ台１丁目,34.818641,135.2436894,312
兵庫県西宮市すみれ台２丁目,34.8191071,135.2369517,168
兵庫県西宮市すみれ台３丁目,34.8181495,135.2354871,266
兵庫県西宮市山口町上山口１丁目,34.8236319,135.2425176,308
兵庫県西宮市山口町上山口２丁目,34.8269355,135.2448613,438
兵庫県西宮市山口町上山口３丁目,34.8269,135.2495491,434
兵庫県西宮市山口町上山口４丁目,34.8241411,135.2483771,403
兵庫県西宮市山口町金仙寺１丁目,34.8231388,135.2527723,44
兵庫県西宮市山口町金仙寺２丁目,34.821478,135.2527723,7
兵庫県西宮市山口町金仙寺３丁目,34.8237013,135.2516002,56
兵庫県西宮市山口町中野１丁目,34.8108362,135.2507211,119
兵庫県西宮市山口町中野２丁目,34.8136884,135.2488166,40
兵庫県西宮市山口町中野３丁目,34.8158281,135.2495491,113
兵庫県西宮市山口,34.7976213,135.2759268,7953
