住所（スプレッドシート用）,Latitude,Longitude,世帯数
兵庫県姫路市白国１丁目,34.858668,134.7058932,471
兵庫県姫路市白国２丁目,34.859934,134.7085327,248
兵庫県姫路市白国３丁目,34.8620078,134.7082394,274
兵庫県姫路市白国４丁目,34.8658741,134.7070663,385
兵庫県姫路市白国５丁目,34.863079,134.7035469,188
兵庫県姫路市城見台１丁目,34.8561928,134.7261253,100
兵庫県姫路市城見台２丁目,34.8577393,134.7293499,287
兵庫県姫路市城見台３丁目,34.8599881,134.7340399,378
兵庫県姫路市城見台４丁目,34.8573613,134.734333,261
兵庫県姫路市砥堀,34.8682847,134.7288092,1933
兵庫県姫路市仁豊野,34.8823377,134.7252458,1124
兵庫県姫路市夢前町玉田,34.883037,134.6712729,47
兵庫県姫路市夢前町山冨,34.8892273,134.6841851,183
兵庫県姫路市夢前町置本,34.9024419,134.6747948,474
兵庫県姫路市夢前町宮置,34.912493,134.6865325,396
兵庫県姫路市夢前町又坂,34.9267617,134.6700989,61
兵庫県姫路市夢前町糸田,34.9335051,134.6841851,155
兵庫県姫路市夢前町塩田,34.9451657,134.6900532,111
兵庫県姫路市夢前町古知之庄,34.9467181,134.6747948,250
兵庫県姫路市夢前町杉之内,34.9528292,134.6783164,151
兵庫県姫路市夢前町高長,34.9609874,134.658357,22
兵庫県姫路市夢前町前之庄,34.9712174,134.6859235,1579
兵庫県姫路市夢前町新庄,34.9965196,134.6771425,280
兵庫県姫路市夢前町神種,34.987544,134.658357,146
兵庫県姫路市夢前町山之内,35.038511,134.6724469,252
兵庫県姫路市夢前町戸倉,34.9641545,134.6372143,103
兵庫県姫路市夢前町野畑,34.9729405,134.6278144,84
兵庫県姫路市夢前町莇野,34.9962654,134.6395639,252
兵庫県姫路市夢前町塚本,34.9348442,134.6407387,108
兵庫県姫路市夢前町護持,34.9518532,134.6207633,535
兵庫県姫路市夢前町芦田,34.9420849,134.6466122,70
兵庫県姫路市夢前町古瀬畑,34.9508708,134.6372143,70
兵庫県姫路市夢前町寺,34.9255671,134.658357,730
兵庫県姫路市夢前町菅生澗,34.9209204,134.6301646,1189
兵庫県姫路市四郷町坂元,34.8125657,134.7229005,285
兵庫県姫路市四郷町山脇,34.8192112,134.7229005,547
兵庫県姫路市四郷町上鈴,34.8154176,134.6855509,233
兵庫県姫路市四郷町中鈴,34.8112142,134.7270048,131
兵庫県姫路市四郷町本郷,34.8082106,134.7322812,254
兵庫県姫路市四郷町見野,34.8037424,134.7275911,553
兵庫県姫路市四郷町明田,34.7960076,134.7299362,217
兵庫県姫路市四郷町東阿保,34.8133041,134.720818,1498
兵庫県姫路市御国野町深志野,34.8282528,134.7463487,1092
兵庫県姫路市御国野町国分寺,34.8226261,134.7346261,1492
兵庫県姫路市御国野町御着,34.8232253,134.7404877,1565
兵庫県姫路市御国野町西御着,34.8167891,134.731695,97
兵庫県姫路市別所町佐土新,34.8211187,134.7545527,234
兵庫県姫路市別所町家具町,34.8227348,134.7486928,140
兵庫県姫路市別所町佐土,34.8121885,134.7451765,534
兵庫県姫路市別所町別所,34.8078321,134.7545527,703
兵庫県姫路市別所町北宿,34.8079042,134.763927,497
兵庫県姫路市別所町小林,34.7995727,134.7604119,537
兵庫県姫路市別所町佐土１丁目,34.810818,134.7469347,170
兵庫県姫路市別所町佐土２丁目,34.8135954,134.7481068,251
兵庫県姫路市別所町佐土３丁目,34.8153789,134.7460556,167
兵庫県姫路市別所町別所１丁目,34.8053178,134.7516229,30
兵庫県姫路市別所町別所２丁目,34.808077,134.7504509,143
兵庫県姫路市別所町別所３丁目,34.8112765,134.7525019,147
兵庫県姫路市別所町別所４丁目,34.811812,134.7501579,109
兵庫県姫路市別所町別所５丁目,34.8136317,134.7527948,149
兵庫県姫路市書写,34.8723295,134.65665,3751
兵庫県姫路市田井台,34.8620097,134.6563019,83
兵庫県姫路市書写台１丁目,34.8733822,134.6499892,54
